dataset,method,compression_ratio,image_ratio,text_ratio,inner,n_samples,accuracy,mean_prefill_ms,mean_decode_ms,mean_throughput_tok_per_sec,peak_gpu_mem_gb,mean_image_fraction,mean_effective_compression,file
mmmu,streaming,0.0,,,,30,0.7,127.22999999999999,281.7393333333333,17.079000000000004,8.759,,,mmmu_streaming_cr0p00.jsonl
mmmu,streaming,0.3,,,,30,0.6333333333333333,133.5023333333333,292.72,17.005333333333333,8.688,,,mmmu_streaming_cr0p30.jsonl
mmmu,streaming,0.5,,,,30,0.6333333333333333,128.62466666666666,292.6876666666667,17.018666666666668,8.626,,,mmmu_streaming_cr0p50.jsonl
mmmu,streaming,0.7,,,,30,0.6333333333333333,127.66299999999998,281.64933333333335,17.084,8.623,,,mmmu_streaming_cr0p70.jsonl
realworldqa,h2o,0.0,,,,50,0.64,309.7317999999999,67.91779999999997,16.3998,8.734,,,realworldqa_h2o_cr0p00.jsonl
realworldqa,h2o,0.3,,,,50,0.64,251.64820000000006,62.62280000000001,16.650999999999996,8.664,,,realworldqa_h2o_cr0p30.jsonl
realworldqa,h2o,0.5,,,,50,0.64,241.22500000000002,60.1286,16.698400000000003,8.616,,,realworldqa_h2o_cr0p50.jsonl
realworldqa,h2o,0.7,,,,50,0.64,246.84339999999992,59.704800000000006,16.808200000000006,8.616,,,realworldqa_h2o_cr0p70.jsonl
realworldqa,modality,,0.3,0.1,h2o,50,0.64,250.6466,59.13420000000001,16.966200000000004,8.667,,0.29229999999999995,realworldqa_modality-h2o_i0p30_t0p10.jsonl
realworldqa,modality,,0.5,0.2,h2o,50,0.68,249.63240000000002,58.2522,17.2308,8.616,,0.48837999999999987,realworldqa_modality-h2o_i0p50_t0p20.jsonl
realworldqa,modality,,0.7,0.2,h2o,50,0.62,255.34479999999994,59.43499999999998,16.881000000000004,8.616,,0.6800799999999999,realworldqa_modality-h2o_i0p70_t0p20.jsonl
realworldqa,modality,,0.7,0.3,h2o,50,0.68,255.648,59.883999999999986,16.749599999999997,8.616,,0.6839999999999999,realworldqa_modality-h2o_i0p70_t0p30.jsonl
realworldqa,modality,,0.8,0.3,h2o,50,0.64,255.789,60.254000000000005,16.659399999999998,8.616,,0.78022,realworldqa_modality-h2o_i0p80_t0p30.jsonl
realworldqa,pyramid,0.0,,,,50,0.66,177.12740000000002,60.51420000000001,16.607799999999994,8.734,,,realworldqa_pyramid_cr0p00.jsonl
realworldqa,pyramid,0.3,,,,50,0.64,205.16840000000005,60.948,16.4932,8.67,,,realworldqa_pyramid_cr0p30.jsonl
realworldqa,pyramid,0.5,,,,50,0.62,205.62560000000002,60.54780000000002,16.600200000000005,8.616,,,realworldqa_pyramid_cr0p50.jsonl
realworldqa,pyramid,0.7,,,,50,0.64,209.1272,61.22940000000001,16.409200000000006,8.616,,,realworldqa_pyramid_cr0p70.jsonl
realworldqa,snapkv,0.0,,,,50,0.64,176.9266,60.12840000000001,16.717999999999996,8.734,,,realworldqa_snapkv_cr0p00.jsonl
realworldqa,snapkv,0.3,,,,50,0.66,207.60280000000003,59.5694,16.871000000000002,8.664,,,realworldqa_snapkv_cr0p30.jsonl
realworldqa,snapkv,0.5,,,,50,0.64,204.26659999999995,60.4338,16.626799999999992,8.616,,,realworldqa_snapkv_cr0p50.jsonl
realworldqa,snapkv,0.7,,,,50,0.64,210.00620000000006,59.9176,16.770000000000003,8.616,,,realworldqa_snapkv_cr0p70.jsonl
realworldqa,streaming,0.0,,,,50,0.64,176.5674,58.91560000000001,17.059999999999995,8.734,,,realworldqa_streaming_cr0p00.jsonl
realworldqa,streaming,0.3,,,,50,0.6,183.07119999999998,59.99520000000001,16.750199999999996,8.664,,,realworldqa_streaming_cr0p30.jsonl
realworldqa,streaming,0.5,,,,50,0.6,185.5728,59.93460000000002,16.769,8.616,,,realworldqa_streaming_cr0p50.jsonl
realworldqa,streaming,0.7,,,,50,0.68,187.78059999999996,60.767199999999974,16.537199999999995,8.616,,,realworldqa_streaming_cr0p70.jsonl
